,1,1k,2500,5k,7500,10k,12500,15k,17500,20k,1meg
$Δ$t: 100.0ms,"(3, 1, 0, 1)","(0, 0, 0, 0)","(2, -4, -5, -5)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
$Δ$t: 64.0ms,"(3, 1, 0, 1)","(0, -1, -1, -1)","(3, -4, -5, -5)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
$Δ$t: 32.0ms,"(1, 0, 0, 0)","(-1, -1, 0, 0)","(4, -4, -6, -4)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
$Δ$t: 16.0ms,"(2, 0, 0, 0)","(0, 0, 0, 0)","(4, -4, -6, -4)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
$Δ$t: 8.0ms,"(1, 0, 0, 0)","(0, 0, 0, 0)","(5, -4, -6, -4)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
$Δ$t: 4.0ms,"(0, -1, -2, -2)","(0, 0, 0, 0)","(5, -5, -7, -3)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
$Δ$t: 2.0ms,"(0, -2, -4, 0)","(0, 0, 0, 0)","(6, -5, -7, -3)","(-5, -5, -5, -5)","(-7, -6, -6, -6)","(-10, -6, -6, -6)","(-10, -6, -6, -6)","(-10, -6, -6, -6)","(-11, -6, -6, -6)","(-13, -6, -7, -7)","(-13, -6, -7, -7)"
$Δ$t: 1.0ms,"(-5, -5, -5, -5)","(1, 0, 0, 0)","(11, -7, -14, 0)","(5, -4, -8, -2)","(5, -4, -8, -2)","(5, -4, -8, -2)","(5, -4, -8, -2)","(5, -4, -8, -2)","(5, -4, -8, -2)","(5, -4, -8, -2)","(5, -4, -8, -2)"
$Δ$t: 0.1ms,"(-8, -8, -8, -8)","(0, 0, 0, 0)","(3, 0, 0, 1)","(25, -5, -6, 12)","(28, -4, -5, 10)","(29, -4, -5, 12)","(30, -4, -5, 13)","(30, -4, -5, 13)","(31, -3, -5, 13)","(31, -3, -5, 14)","(33, -3, -6, 16)"
$Δ$t: 0.01ms,"(-8, -8, -8, -8)","(-9, -9, -9, -9)","(-1, -1, -1, -1)","(-38, -10, -10, -10)","(-26, -17, -17, -17)","(-18, -28, -28, -28)","(-17, -34, -34, -34)","(-22, -27, -27, -27)","(-18, -41, -41, -41)","(-15, -81, -81, -81)","(-19, -59, -59, -59)"
$Δ$t: 0.001ms,"(-125, -126, -126, -126)","(-124, -125, -125, -125)","(-127, -128, -128, -128)","(-127, -128, -128, -128)","(-127, -128, -128, -128)","(-127, -128, -128, -128)","(-127, -128, -128, -128)","(-127, -128, -128, -128)","(-127, -128, -128, -128)","(-127, -128, -128, -128)","(-127, -128, -128, -128)"
